Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
P0AF18,N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) GN=nagA PE=1 SV=1,nagA,9,565.69,40905.11211,2,1.92E-02,5.11E-02,2.54E-02,2.58E-02,2.90E-02,4.33E-02,2.76E-02,2.68E-02,2.41E-02,2.80E-02,3.14E-02,3.05E-02,1.99E-02,2.70E-02,3.65E-02,2.90E-02,3.04E-02,2.60E-02,3.80E-02,1.08E-01,3.19E-02,2.82E-02
P0AF24,Protein nagD OS=Escherichia coli (strain K12) GN=nagD PE=1 SV=1,nagD,9,623.44,27127.68109,2,5.71E-02,6.16E-02,7.12E-02,3.17E-02,3.87E-02,4.25E-02,4.63E-02,4.71E-02,3.85E-02,3.22E-02,3.03E-02,2.51E-02,3.71E-02,2.57E-02,4.25E-02,6.16E-02,4.27E-02,4.23E-02,4.94E-02,4.01E-02,4.82E-02,5.67E-02
P09099,Xylulose kinase OS=Escherichia coli (strain K12) GN=xylB PE=1 SV=1,xylB,9,615.97,52566.57799,2,4.19E-03,3.82E-03,4.44E-03,3.36E-03,3.75E-03,4.47E-03,3.90E-03,3.64E-03,3.16E-03,3.81E-03,4.19E-03,5.13E-03,2.44E-03,4.14E-03,4.73E-03,5.55E-03,4.61E-03,1.75E-01,4.92E-03,3.87E-03,3.52E-03,3.64E-03
P39173,Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) GN=yeaD PE=1 SV=2,yeaD,9,916.95,32627.64631,2,1.17E-01,1.31E-01,1.86E-01,8.08E-02,9.06E-02,1.09E-01,1.13E-01,7.45E-02,1.16E-01,8.85E-02,5.94E-02,4.00E-02,4.32E-02,4.46E-02,1.16E-01,1.18E-01,9.93E-02,1.05E-01,9.38E-02,6.01E-02,9.15E-02,1.93E-01
P15067,Glycogen debranching enzyme OS=Escherichia coli (strain K12) GN=glgX PE=1 SV=3,glgX,9,469.37,73512.46612,2,1.35E-02,9.15E-03,1.65E-02,1.35E-02,9.91E-03,9.85E-03,1.16E-02,1.21E-02,9.35E-03,9.32E-03,8.77E-03,9.04E-03,9.20E-03,9.28E-03,8.03E-03,1.05E-02,1.57E-02,1.03E-02,9.96E-03,1.16E-02,9.46E-03,7.72E-03
P68187,Maltose/maltodextrin import ATP-binding protein MalK OS=Escherichia coli (strain K12) GN=malK PE=1 SV=1,malK,9,657.81,40946.59286,2,5.93E-03,2.70E-02,1.70E-02,6.39E-03,1.16E-02,1.53E-02,8.89E-03,1.08E-02,3.87E-02,4.45E-02,4.14E-02,2.57E-02,1.35E-03,1.49E-03,1.52E-03,1.55E-03,1.68E-03,2.88E-03,1.50E-02,8.67E-03,9.45E-03,7.70E-03
P04983,Ribose import ATP-binding protein RbsA OS=Escherichia coli (strain K12) GN=rbsA PE=1 SV=1,rbsA,9,508.33,54988.72377,2,1.66E-03,7.15E-03,8.26E-03,3.37E-03,5.68E-03,5.08E-03,4.89E-03,1.04E-02,8.24E-03,1.07E-02,1.04E-02,1.58E-02,3.84E-03,5.41E-03,3.20E-03,3.30E-03,1.65E-03,2.69E-03,4.51E-03,4.66E-03,6.22E-03,4.12E-03
P37387,D-xylose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=xylF PE=1 SV=1,xylF,9,566.21,35693.7284,2,5.57E-03,8.71E-03,9.31E-03,1.12E-02,2.06E-02,1.06E-02,8.20E-03,1.22E-02,1.04E-02,2.12E-02,2.74E-02,2.99E-02,3.49E-03,2.64E-03,3.15E-03,4.46E-03,2.88E-03,4.42E-01,1.65E-02,2.33E-02,1.25E-02,6.12E-03
P0ABF6,Cytidine deaminase OS=Escherichia coli (strain K12) GN=cdd PE=1 SV=1,cdd,9,492.97,31501.89874,2,1.34E-02,1.77E-01,1.04E-02,1.28E-02,1.47E-02,1.48E-02,1.10E-02,9.74E-03,1.32E-02,1.65E-02,1.80E-02,2.31E-02,3.90E-02,4.44E-02,3.47E-02,2.69E-02,4.31E-02,1.72E-02,1.70E-02,1.03E-02,1.22E-02,1.04E-02
P0A9M2,Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1,hpt,9,472.36,20084.39054,2,4.28E-02,8.25E-02,5.37E-02,1.77E-02,2.36E-02,2.93E-02,2.80E-02,2.51E-02,2.25E-02,1.94E-02,1.44E-02,1.17E-02,1.44E-02,1.64E-02,4.60E-02,2.57E-02,3.15E-02,3.14E-02,2.22E-02,2.25E-02,3.04E-02,3.91E-02
P0A8F4,Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1,udk,9,377.47,24319.5763,2,7.77E-03,1.80E-02,1.35E-02,5.52E-03,8.47E-03,6.56E-03,8.26E-03,6.92E-03,9.64E-03,6.76E-03,5.50E-03,4.29E-03,3.88E-03,4.23E-03,7.68E-03,8.37E-03,9.81E-03,8.85E-03,6.98E-03,5.64E-03,8.40E-03,9.92E-03
P69924,Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2,nrdB,9,584.64,43471.70663,2,3.24E-02,6.00E-02,5.88E-02,2.72E-02,2.89E-02,3.50E-02,2.84E-02,2.93E-02,3.36E-02,2.86E-02,2.38E-02,2.00E-02,1.92E-02,1.58E-02,3.03E-02,4.22E-02,3.36E-02,3.03E-02,2.81E-02,2.21E-02,2.66E-02,3.45E-02
P0A7F3,Aspartate carbamoyltransferase regulatory chain OS=Escherichia coli (strain K12) GN=pyrI PE=1 SV=2,pyrI,9,744.73,17091.87674,2,5.41E-01,8.63E-02,6.93E-02,3.46E-01,6.29E-01,5.12E-01,5.86E-01,3.41E-01,6.04E-01,3.89E-01,2.34E-01,1.91E-01,2.93E-01,2.89E-01,6.91E-01,3.90E-01,5.98E-01,4.73E-01,4.33E-01,5.58E-01,6.77E-01,5.13E-01
P04391,Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3,argI,9,1071.73,36865.4917,2,4.93E-02,4.34E-03,8.42E-03,2.06E-02,2.53E-02,2.09E-02,2.53E-02,1.72E-02,2.89E-02,2.17E-02,2.72E-02,3.70E-02,2.90E-03,2.22E-03,3.45E-02,2.28E-02,2.89E-02,3.25E-02,2.22E-02,1.70E-02,2.26E-02,2.83E-02
P07623,Homoserine O-succinyltransferase OS=Escherichia coli (strain K12) GN=metA PE=1 SV=4,metA,9,553.76,35686.96076,2,1.59E-01,2.19E-02,2.14E-02,2.92E-02,4.22E-02,4.90E-02,5.43E-02,4.79E-02,5.29E-02,4.15E-02,3.49E-02,2.97E-02,1.77E-02,1.66E-02,8.32E-02,8.60E-02,1.39E-01,9.79E-02,5.83E-02,4.95E-02,6.58E-02,7.48E-02
P0A7F6,S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1,speD,9,602.17,30347.05278,2,8.97E-02,1.06E-01,7.18E-02,2.27E-02,4.30E-02,4.96E-02,4.17E-02,2.89E-02,3.95E-02,2.52E-02,1.71E-02,1.30E-02,1.71E-02,2.19E-02,6.17E-02,6.59E-02,5.23E-02,4.78E-02,3.45E-02,2.50E-02,3.96E-02,5.31E-02
P0ADT5,Uncharacterized protein ygiC OS=Escherichia coli (strain K12) GN=ygiC PE=4 SV=1,ygiC,9,321.32,44979.1626,2,2.88E-02,3.29E-02,2.94E-02,1.64E-02,2.91E-02,1.87E-02,3.30E-02,3.44E-02,1.65E-02,1.54E-02,1.32E-02,1.19E-02,9.68E-03,8.67E-03,2.02E-02,2.36E-02,1.32E-02,2.28E-02,2.86E-02,1.40E-02,2.43E-02,3.14E-02
P0A9S3,Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=3 SV=1,gatD,9,589.42,37348.25439,2,7.96E-03,7.62E-02,4.05E-02,6.73E-02,5.82E-02,3.86E-02,3.83E-02,3.78E-02,4.83E-02,8.19E-02,7.48E-02,7.95E-02,5.87E-03,5.74E-03,9.24E-03,1.48E-02,6.48E-03,2.19E-02,4.63E-02,4.48E-02,5.69E-02,2.55E-02
P00894,Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3,ilvH,9,590.6,17947.67665,2,4.57E-02,1.31E-02,1.36E-02,2.69E-02,2.86E-02,4.32E-02,3.71E-02,3.98E-02,3.21E-02,2.55E-02,2.46E-02,2.13E-02,2.38E-02,1.87E-02,4.18E-02,4.28E-02,4.75E-02,5.43E-02,4.74E-02,3.83E-02,4.18E-02,5.76E-02
P0A9S7,High-affinity branched-chain amino acid transport ATP-binding protein LivG OS=Escherichia coli (strain K12) GN=livG PE=3 SV=1,livG,9,490.56,28390.87056,2,9.56E-03,8.08E-03,4.79E-03,7.98E-03,1.38E-02,1.65E-02,1.44E-02,1.13E-02,2.21E-02,2.04E-02,1.58E-02,1.44E-02,4.75E-03,4.81E-03,8.26E-03,9.48E-03,7.77E-03,1.17E-02,1.17E-02,1.22E-02,1.69E-02,1.69E-02
P77737,Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1,oppF,9,394.25,37155.62253,2,3.52E-03,2.74E-02,4.93E-02,1.31E-03,4.45E-03,4.38E-03,3.25E-03,3.69E-03,5.93E-03,4.92E-03,4.32E-03,3.25E-03,3.36E-04,3.51E-04,1.26E-03,3.49E-03,1.89E-03,3.99E-03,2.10E-03,2.17E-03,4.29E-03,3.99E-03
P75914,Putative hydrolase ycdX OS=Escherichia coli (strain K12) GN=ycdX PE=1 SV=1,ycdX,9,423.55,26855.38893,2,1.07E-02,9.86E-03,1.17E-02,6.80E-03,1.01E-02,8.86E-03,9.90E-03,1.23E-02,9.24E-03,8.95E-03,7.42E-03,5.76E-03,3.91E-03,4.89E-03,1.53E-02,1.24E-02,1.39E-02,1.22E-02,7.84E-03,6.66E-03,7.71E-03,1.04E-02
P29131,Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3,ftsN,9,469.93,35753.37745,2,1.02E-02,1.55E-02,1.12E-02,7.35E-03,1.20E-02,1.11E-02,1.01E-02,1.06E-02,1.08E-02,1.05E-02,1.07E-02,1.13E-02,6.77E-03,6.15E-03,1.05E-02,1.45E-02,9.61E-03,1.17E-02,1.20E-02,1.14E-02,9.26E-03,1.46E-02
P0AF08,Protein mrp OS=Escherichia coli (strain K12) GN=mrp PE=3 SV=1,mrp,9,575.07,39894.51587,2,8.72E-02,1.37E-01,9.61E-02,4.67E-02,5.72E-02,6.67E-02,6.18E-02,6.02E-02,5.28E-02,3.81E-02,3.12E-02,2.74E-02,3.31E-02,2.76E-02,6.13E-02,1.07E-01,9.89E-02,7.08E-02,5.85E-02,4.84E-02,6.32E-02,8.05E-02
P0A6U3,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG OS=Escherichia coli (strain K12) GN=mnmG PE=1 SV=1,mnmG,9,371.07,69459.73837,2,9.65E-03,1.97E-02,1.41E-02,5.77E-03,8.23E-03,8.57E-03,8.86E-03,7.54E-03,1.14E-02,9.88E-03,6.44E-03,5.60E-03,2.39E-03,3.86E-03,8.94E-03,1.44E-02,8.64E-03,1.23E-02,8.63E-03,7.18E-03,1.02E-02,1.17E-02
P0ACD4,NifU-like protein OS=Escherichia coli (strain K12) GN=nifU PE=1 SV=1,iscU,9,494.3,13821.84619,2,2.16E-01,2.01E-01,2.93E-01,1.56E-01,1.52E-01,1.44E-01,2.07E-01,1.58E-01,2.33E-01,1.56E-01,1.11E-01,7.17E-02,1.26E-02,1.13E-02,3.19E-01,2.74E-01,1.64E-01,2.93E-01,2.15E-01,1.78E-01,1.47E-01,2.83E-01
P33232,L-lactate dehydrogenase [cytochrome] OS=Escherichia coli (strain K12) GN=lldD PE=1 SV=1,lldD,9,551.7,42682.9454,2,1.05E-02,7.28E-02,2.03E-02,2.15E-02,2.25E-02,2.08E-02,1.93E-02,1.55E-02,2.62E-02,2.39E-02,2.19E-02,2.64E-02,3.66E-02,3.42E-02,1.45E-02,2.29E-02,1.67E-02,1.89E-02,2.32E-02,2.84E-02,2.56E-02,1.85E-02
P0AFC7,NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1,nuoB,9,473.2,25021.38614,2,1.27E-02,5.32E-02,3.73E-02,1.11E-02,2.17E-02,2.39E-02,2.15E-02,1.58E-02,1.82E-02,1.71E-02,1.61E-02,1.25E-02,2.58E-03,1.72E-03,6.43E-03,1.02E-02,1.03E-02,9.59E-03,1.42E-02,8.89E-03,1.19E-02,1.45E-02
P0A6E6,ATP synthase epsilon chain OS=Escherichia coli (strain K12) GN=atpC PE=1 SV=2,atpC,9,754.25,15040.73788,2,2.53E-01,3.84E-01,5.35E-01,1.78E-01,2.88E-01,2.87E-01,3.00E-01,3.22E-01,2.12E-01,1.77E-01,1.35E-01,1.03E-01,8.59E-02,1.08E-01,2.03E-01,2.48E-01,1.67E-01,2.58E-01,2.81E-01,1.76E-01,2.82E-01,3.19E-01
P00363,Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,frdA,9,545.2,65911.64933,2,4.00E-03,4.47E-02,2.65E-02,1.15E-02,2.42E-02,5.93E-03,6.70E-03,7.03E-03,9.39E-03,1.10E-02,1.03E-02,1.31E-02,1.97E-03,2.42E-03,4.47E-03,6.40E-03,3.80E-03,6.07E-03,8.68E-03,7.03E-03,2.42E-02,7.16E-03
P52647,Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2,ydbK,9,405.85,128725.189,2,1.40E-02,4.21E-02,1.86E-02,1.01E-02,1.06E-02,2.02E-02,1.29E-02,8.69E-03,1.33E-02,1.25E-02,1.40E-02,1.93E-02,7.23E-03,8.68E-03,1.15E-02,1.48E-02,2.08E-02,1.10E-02,1.09E-02,8.35E-03,1.39E-02,1.77E-02
P37749,Uncharacterized protein yefG OS=Escherichia coli (strain K12) GN=yefG PE=4 SV=1,wbbI,9,565.39,37715.06647,2,4.94E-02,1.27E-01,8.08E-02,2.38E-02,3.03E-02,3.52E-02,3.53E-02,3.52E-02,4.06E-02,3.21E-02,2.38E-02,1.66E-02,1.19E-02,9.72E-03,2.68E-02,3.89E-02,3.91E-02,4.24E-02,3.68E-02,2.20E-02,3.55E-02,4.72E-02
P62768,UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1,yaeH,9,412.95,15068.91436,2,4.27E-02,3.70E-02,4.79E-02,4.86E-02,6.11E-02,5.52E-02,6.35E-02,5.46E-02,5.51E-02,5.78E-02,5.80E-02,5.85E-02,6.31E-02,5.60E-02,8.57E-02,8.75E-02,8.42E-02,6.11E-02,5.51E-02,5.44E-02,4.96E-02,5.24E-02
P27305,Glutamyl-Q tRNA(Asp) synthetase OS=Escherichia coli (strain K12) GN=gluQ PE=1 SV=6,gluQ,9,415.47,34827.85594,1,2.75E-03,9.61E-03,NA,1.54E-03,4.01E-03,2.41E-03,2.53E-03,2.69E-03,2.93E-03,3.15E-03,9.14E-03,2.22E-03,3.92E-04,6.84E-04,2.59E-03,1.83E-03,2.36E-03,NA,NA,9.43E-04,2.68E-03,NA
P13016,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD OS=Escherichia coli (strain K12) GN=ampD PE=2 SV=1",ampD,8,462.43,20505.15669,1,5.69E-03,5.64E-03,NA,3.99E-03,3.40E-03,9.86E-03,3.61E-03,4.12E-03,3.96E-03,6.80E-03,1.75E-03,3.07E-03,4.03E-03,8.43E-04,2.87E-03,2.95E-03,2.48E-03,NA,NA,3.42E-03,4.38E-03,NA
P77619,UPF0214 protein yfeW OS=Escherichia coli (strain K12) GN=yfeW PE=3 SV=2,yfeW,8,422.01,47704.04158,1,1.14E-03,3.39E-03,NA,5.51E-04,1.48E-03,3.10E-03,1.50E-03,1.23E-03,1.61E-03,5.64E-03,6.71E-03,4.15E-03,2.46E-03,5.83E-04,7.61E-04,8.10E-03,1.53E-03,NA,NA,8.76E-04,2.83E-03,NA
P69425,Sec-independent protein translocase protein tatB OS=Escherichia coli (strain K12) GN=tatB PE=1 SV=1,tatB,8,385.36,18391.55204,2,1.98E-02,3.24E-02,3.31E-02,1.35E-02,1.93E-02,2.00E-02,1.79E-02,2.07E-02,1.54E-02,1.51E-02,1.13E-02,1.06E-02,1.42E-02,1.50E-02,2.88E-02,2.40E-02,2.42E-02,2.09E-02,2.07E-02,1.81E-02,1.90E-02,2.01E-02
P77754,Spheroplast protein Y OS=Escherichia coli (strain K12) GN=spy PE=1 SV=1,spy,8,348.3,18169.28381,2,1.28E-02,1.34E-02,1.51E-02,2.43E-02,1.85E-02,2.30E-02,1.88E-02,2.60E-02,1.14E-02,1.34E-02,1.11E-02,1.17E-02,5.07E-03,5.10E-03,1.62E-02,3.94E-02,9.69E-03,1.07E-02,1.67E-02,2.30E-02,1.61E-02,1.88E-02
P0AEC3,Aerobic respiration control sensor protein ArcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1,arcB,8,357.55,87909.64099,2,7.23E-03,1.77E-02,1.11E-02,8.01E-03,7.87E-03,9.42E-03,7.41E-03,9.73E-03,9.04E-03,8.08E-03,8.50E-03,7.50E-03,5.92E-03,3.96E-03,9.98E-03,7.48E-03,1.32E-02,9.45E-03,7.88E-03,7.26E-03,8.08E-03,7.90E-03
P15078,Carbon starvation protein A OS=Escherichia coli (strain K12) GN=cstA PE=1 SV=3,cstA,8,408.98,75037.56526,2,4.49E-02,1.22E-01,1.97E-01,2.43E-01,3.24E-01,2.50E-01,2.64E-01,2.64E-01,5.49E-01,7.26E-01,7.34E-01,6.87E-01,1.56E-02,2.36E-02,3.84E-02,3.17E-02,1.70E-02,5.81E-02,3.98E-01,2.35E-01,3.07E-01,1.54E-01
P45955,Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2,ybgF,8,458.91,28196.1354,2,6.48E-02,6.78E-02,9.39E-02,3.78E-02,4.06E-02,3.63E-02,4.68E-02,4.29E-02,3.29E-02,2.57E-02,2.54E-02,2.30E-02,1.85E-02,3.77E-02,3.12E-02,2.89E-02,2.35E-02,1.45E-02,1.51E-02,1.44E-02,1.74E-02,2.38E-02
P27431,Uncharacterized protein ycfD OS=Escherichia coli (strain K12) GN=ycfD PE=4 SV=2,ycfD,8,391.54,42534.03822,2,5.80E-02,6.87E-02,7.06E-02,4.48E-02,5.10E-02,5.44E-02,6.09E-02,4.50E-02,4.51E-02,3.96E-02,3.51E-02,3.54E-02,4.45E-02,4.51E-02,6.11E-02,4.20E-02,5.76E-02,5.24E-02,4.92E-02,5.05E-02,4.89E-02,4.73E-02
P76576,UPF0070 protein yfgM OS=Escherichia coli (strain K12) GN=yfgM PE=3 SV=1,yfgM,8,544.81,22144.4226,2,3.73E-02,5.73E-02,5.60E-02,1.83E-02,2.34E-02,2.81E-02,2.66E-02,2.70E-02,2.04E-02,1.91E-02,1.48E-02,1.36E-02,1.53E-02,1.35E-02,3.36E-02,3.40E-02,2.66E-02,3.50E-02,2.67E-02,1.84E-02,2.45E-02,2.87E-02
P0A8A4,Putative phosphotransferase ydiA OS=Escherichia coli (strain K12) GN=ydiA PE=1 SV=1,ppsR,8,508.25,31173.13955,2,1.51E-02,1.85E-02,1.91E-02,1.61E-02,1.80E-02,1.27E-02,1.46E-02,2.38E-02,1.34E-02,1.24E-02,1.03E-02,9.23E-03,8.75E-03,1.02E-02,1.82E-02,1.89E-02,2.13E-02,2.15E-02,1.72E-02,1.57E-02,2.26E-02,1.43E-02
P76187,Oxidoreductase YdhF OS=Escherichia coli (strain K12) GN=ydhF PE=1 SV=2,ydhF,8,405.07,33636.33205,2,1.65E-02,2.67E-02,2.02E-02,2.95E-02,1.94E-02,2.77E-02,1.61E-02,1.52E-02,3.27E-02,3.16E-02,3.62E-02,5.35E-02,1.89E-02,1.01E-02,1.07E-02,1.72E-02,1.50E-02,1.35E-02,1.74E-02,1.93E-02,1.27E-02,1.79E-02
P32705,Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1,actP,8,307.97,59140.38198,2,3.97E-03,1.11E-02,2.22E-02,3.30E-02,1.00E-01,3.71E-02,2.43E-02,2.64E-02,6.18E-02,1.38E-01,1.63E-01,1.88E-01,6.25E-03,4.68E-03,6.00E-03,5.41E-03,5.77E-03,5.59E-03,6.73E-02,6.66E-02,6.20E-02,8.61E-03
P56262,Putative carboxymethylenebutenolidase OS=Escherichia coli (strain K12) GN=ysgA PE=3 SV=3,ysgA,8,468.94,29388.78696,2,3.33E-02,2.35E-02,3.69E-02,7.03E-02,5.82E-02,5.19E-02,5.45E-02,4.60E-02,6.72E-02,5.72E-02,5.55E-02,4.26E-02,2.80E-02,2.88E-02,7.16E-02,3.78E-02,5.50E-02,3.42E-02,7.50E-02,5.65E-02,5.79E-02,4.70E-02
P0A998,Ferritin-1 OS=Escherichia coli (strain K12) GN=ftnA PE=1 SV=1,ftnA,8,522.87,19393.38241,2,1.04E-01,1.70E-01,4.76E-02,2.77E-02,3.45E-02,7.70E-02,4.23E-02,3.67E-02,3.74E-02,3.62E-02,3.26E-02,2.45E-02,1.13E-02,1.38E-02,2.67E-02,4.42E-02,2.48E-02,3.26E-02,3.99E-02,2.61E-02,3.02E-02,4.38E-02
P36659,Curved DNA-binding protein OS=Escherichia coli (strain K12) GN=cbpA PE=1 SV=2,cbpA,8,465.02,34415.7121,2,7.48E-03,2.08E-02,1.39E-02,1.14E-02,6.81E-03,8.39E-03,7.05E-03,5.48E-03,6.94E-03,7.30E-03,7.40E-03,9.10E-03,1.73E-02,1.57E-02,7.24E-03,1.38E-02,4.05E-02,6.82E-03,6.54E-03,7.08E-03,5.82E-03,4.08E-03
P23869,Peptidyl-prolyl cis-trans isomerase B OS=Escherichia coli (strain K12) GN=ppiB PE=1 SV=2,ppiB,8,336.07,18123.88314,2,6.94E-02,1.04E-01,5.23E-02,4.61E-02,6.91E-02,6.70E-02,7.71E-02,6.13E-02,6.01E-02,5.01E-02,4.41E-02,3.37E-02,7.68E-02,7.09E-02,1.28E-01,1.58E-01,1.54E-01,1.07E-01,6.30E-02,5.17E-02,6.49E-02,8.88E-02
P0A9K9,FKBP-type peptidyl-prolyl cis-trans isomerase slyD OS=Escherichia coli (strain K12) GN=slyD PE=1 SV=1,slyD,8,571.53,20821.68491,2,6.80E-01,9.94E-01,7.89E-01,3.72E-01,4.99E-01,4.89E-01,5.28E-01,5.04E-01,4.73E-01,3.55E-01,3.20E-01,2.53E-01,1.64E-01,1.58E-01,5.23E-01,3.08E-01,5.06E-01,4.34E-01,4.89E-01,2.95E-01,4.09E-01,4.62E-01
P77395,Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2,ybbN,8,562.12,31753.32557,2,1.42E-01,2.26E-01,1.94E-01,8.04E-02,9.23E-02,1.01E-01,1.19E-01,9.64E-02,9.64E-02,8.06E-02,6.35E-02,4.73E-02,7.19E-02,6.99E-02,1.35E-01,1.18E-01,1.20E-01,1.13E-01,1.09E-01,6.97E-02,9.35E-02,1.05E-01
P30870,Glutamate-ammonia-ligase adenylyltransferase OS=Escherichia coli (strain K12) GN=glnE PE=1 SV=2,glnE,8,388.38,108332.1443,2,4.46E-03,5.18E-03,5.93E-03,4.55E-03,5.87E-03,9.83E-03,6.41E-03,6.65E-03,1.01E-02,1.13E-02,1.18E-02,9.46E-03,3.57E-03,3.59E-03,7.44E-03,1.35E-02,7.30E-03,7.27E-03,8.30E-03,8.61E-03,6.97E-03,1.18E-02
P0A6G7,ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) GN=clpP PE=1 SV=1,clpP,8,743.25,23153.61161,2,3.39E-01,4.65E-01,4.03E-01,2.38E-01,2.65E-01,2.59E-01,2.76E-01,2.44E-01,2.47E-01,2.06E-01,1.95E-01,1.55E-01,1.68E-01,1.83E-01,3.25E-01,3.14E-01,3.17E-01,3.18E-01,3.07E-01,1.65E-01,2.02E-01,2.36E-01
P0C0L2,Peroxiredoxin osmC OS=Escherichia coli (strain K12) GN=osmC PE=1 SV=2,osmC,8,441.62,15060.65425,2,1.90E-01,8.22E-02,8.69E-02,2.86E-01,2.30E-01,2.98E-01,2.04E-01,1.51E-01,1.74E-01,2.16E-01,3.34E-01,4.02E-01,8.68E-01,8.45E-01,6.20E-01,2.44E-01,4.43E-01,1.73E-01,2.28E-01,6.03E-01,2.01E-01,1.39E-01
P05852,Probable O-sialoglycoprotein endopeptidase OS=Escherichia coli (strain K12) GN=gcp PE=3 SV=2,tsaD,8,231.6,35967.52524,2,1.19E-02,2.89E-02,1.41E-02,5.21E-03,5.07E-03,6.11E-03,6.27E-03,5.34E-03,6.91E-03,5.27E-03,3.81E-03,3.46E-03,2.75E-03,3.00E-03,6.90E-03,7.53E-03,6.99E-03,7.05E-03,5.18E-03,5.60E-03,6.74E-03,8.62E-03
P04951,3-deoxy-manno-octulosonate cytidylyltransferase OS=Escherichia coli (strain K12) GN=kdsB PE=1 SV=2,kdsB,8,511.83,27579.08508,2,2.50E-02,4.18E-02,4.10E-02,1.33E-02,1.63E-02,1.96E-02,1.86E-02,2.08E-02,1.56E-02,1.14E-02,8.97E-03,8.86E-03,1.24E-02,1.25E-02,2.65E-02,2.54E-02,3.03E-02,2.00E-02,1.53E-02,1.46E-02,2.15E-02,2.52E-02
P0ADA3,Lipoprotein nlpD OS=Escherichia coli (strain K12) GN=nlpD PE=1 SV=1,nlpD,8,429.71,40106.35568,2,2.29E-02,2.84E-02,2.42E-02,1.21E-02,2.00E-02,1.69E-02,2.13E-02,2.14E-02,1.51E-02,1.63E-02,1.26E-02,1.17E-02,1.42E-02,1.02E-02,2.86E-02,4.02E-02,2.62E-02,2.32E-02,1.69E-02,1.60E-02,1.44E-02,1.68E-02
P25740,Lipopolysaccharide core biosynthesis protein rfaG OS=Escherichia coli (strain K12) GN=rfaG PE=1 SV=1,rfaG,8,301.05,42239.46311,1,3.46E-03,7.13E-03,NA,1.24E-03,1.06E-03,3.48E-03,2.15E-03,6.50E-04,1.04E-03,5.29E-04,8.88E-04,3.24E-04,1.83E-04,1.63E-04,1.50E-03,2.80E-03,1.32E-03,NA,NA,4.63E-04,1.57E-03,NA
P75864,Ribosomal RNA large subunit methyltransferase L OS=Escherichia coli (strain K12) GN=rlmL PE=1 SV=1,rlmL,8,449.7,78786.50342,2,1.33E-02,3.38E-02,1.83E-02,9.71E-03,8.44E-03,1.12E-02,9.57E-03,1.28E-02,1.69E-02,1.36E-02,1.12E-02,1.11E-02,7.27E-03,4.41E-03,6.53E-03,1.14E-02,7.64E-03,9.06E-03,9.35E-03,4.03E-03,8.21E-03,1.21E-02
P0A812,Holliday junction ATP-dependent DNA helicase ruvB OS=Escherichia coli (strain K12) GN=ruvB PE=1 SV=1,ruvB,8,435.32,37132.36379,2,1.45E-02,2.13E-02,1.80E-02,1.05E-02,1.11E-02,1.01E-02,1.06E-02,1.11E-02,9.59E-03,8.54E-03,7.97E-03,6.63E-03,2.57E-03,1.75E-03,9.66E-03,1.06E-02,6.85E-03,9.04E-03,1.09E-02,7.43E-03,9.40E-03,9.99E-03
